Rk,Team,Seed,Conf,W,L,AdjEM,AdjO,AdjO_R,AdjD,AdjD_R,AdjT,AdjT_R,Luck,Luck_R,AdjEM2,AdjEM_R,OppO,OppO_R,OppD,OppD_R,AdjEM3,AdjEM_R4,R64,R32,R16,R8,R4,R2,Winner,Conference,year
3,Indiana,1,B10,29,7,29.31,120.8,2,91.5,19,66,105,-0.021,239,8.86,17,106.7,23,97.8,14,-5.16,294,1,1,1,0,0,0,0,E,2013
1,Louisville,1,BE,35,5,32.92,117.7,7,84.8,1,65.8,116,-0.016,230,10.23,7,107.4,11,97.2,6,2.15,100,1,1,1,1,1,1,1,M,2013
8,Kansas,1,B12,31,6,25.23,112.7,27,87.5,5,66.4,86,0.01,153,7.05,40,106.8,19,99.8,66,2.64,87,1,1,1,0,0,0,0,S,2013
5,Gonzaga,1,WCC,32,3,27.81,120.5,3,92.7,30,63.3,232,0.026,116,4.37,87,105.4,75,101,102,5.03,39,1,1,0,0,0,0,0,W,2013
13,Miami FL,2,ACC,29,7,22.37,113.6,22,91.3,18,61.9,281,0.028,108,8.41,20,107.7,9,99.3,54,4.96,42,1,1,1,0,0,0,0,E,2013
6,Duke,2,ACC,30,6,26.98,119.1,4,92.1,26,66.7,75,0.033,97,9.95,10,108.4,4,98.5,29,6.85,18,1,1,1,1,0,0,0,M,2013
16,Georgetown,2,BE,25,7,21.24,107.6,80,86.4,4,61.2,300,0.038,82,7.42,33,106.3,34,98.9,43,-6.15,312,1,0,0,0,0,0,0,S,2013
7,Ohio St.,2,B10,29,8,25.42,115.1,14,89.7,9,63.6,218,0.02,135,10.18,9,107.3,12,97.1,5,-5.53,302,1,1,1,1,0,0,0,W,2013
26,Marquette,3,BE,26,9,18.32,113.2,24,94.9,45,63.3,230,0.09,11,9.28,13,105.9,49,96.6,1,-1.14,196,1,1,1,1,0,0,0,E,2013
10,Michigan St.,3,B10,27,9,24.17,112.6,29,88.5,7,63.1,238,0.001,174,11.91,1,108.8,2,96.9,2,-0.75,183,1,1,1,0,0,0,0,M,2013
2,Florida,3,SEC,29,8,31.18,117.2,9,86,3,61.9,280,-0.089,332,7,41,105.6,63,98.6,36,4.09,62,1,1,1,1,0,0,0,S,2013
23,New Mexico,3,MWC,29,6,19.02,109.9,53,90.9,16,63.7,214,0.073,27,7.98,25,106.4,31,98.4,25,4.42,51,1,0,0,0,0,0,0,W,2013
9,Syracuse,4,BE,30,10,24.83,113.1,26,88.3,6,63.1,235,-0.004,188,9.46,11,106.8,20,97.4,9,-4.44,282,1,1,1,1,1,0,0,E,2013
19,Saint Louis,4,A10,28,7,20.01,108.6,71,88.6,8,63.8,213,0,179,3.91,97,104.5,101,100.6,91,-3.98,273,1,1,0,0,0,0,0,M,2013
4,Michigan,4,B10,31,8,27.86,121.9,1,94,37,64,198,-0.007,197,11.13,3,108.2,5,97,3,-3.09,257,1,1,1,1,1,1,0,S,2013
27,Kansas St.,4,B12,27,8,18.16,113.5,23,95.3,52,61.4,296,0.051,51,6.82,47,106.1,38,99.3,55,-3.29,264,1,0,0,0,0,0,0,W,2013
38,UNLV,5,MWC,25,10,16.07,106,115,90,12,67.9,42,-0.015,226,6.23,59,106.1,37,99.9,70,-0.28,162,1,0,0,0,0,0,0,E,2013
24,Oklahoma St.,5,B12,24,9,18.69,109,66,90.3,14,66.1,104,-0.016,229,6.38,57,106.8,22,100.4,86,-2.26,235,1,0,0,0,0,0,0,M,2013
18,VCU,5,A10,27,9,20.28,114,20,93.7,36,66.4,91,0.002,171,5.09,76,105.8,56,100.7,97,-0.22,161,1,1,0,0,0,0,0,S,2013
12,Wisconsin,5,B10,23,12,22.57,108.3,73,85.7,2,60.4,319,-0.033,268,11.08,4,108.8,1,97.7,12,-3.2,262,1,0,0,0,0,0,0,W,2013
42,Butler,6,A10,27,9,15.41,110.5,47,95.1,48,63.6,217,0.087,14,7.53,30,106.8,21,99.3,53,4.18,57,1,1,0,0,0,0,0,E,2013
37,Memphis,6,CUSA,31,5,16.33,107.3,85,91,17,68.3,31,0.056,39,1.9,120,104.8,93,102.9,161,0.43,138,1,1,0,0,0,0,0,M,2013
46,UCLA,6,P12,25,10,14.53,111.1,42,96.6,67,68.1,35,0.068,32,8.06,22,105.9,44,97.9,16,0.43,139,1,0,0,0,0,0,0,S,2013
14,Arizona,6,P12,27,8,21.88,115.4,13,93.5,32,65.5,133,-0.012,214,7.99,24,106.4,29,98.5,27,1.45,116,1,1,1,0,0,0,0,W,2013
39,Illinois,7,B10,23,13,15.82,110.6,46,94.8,44,64.6,180,0.042,71,10.84,5,108.1,6,97.3,8,-0.8,185,1,1,0,0,0,0,0,E,2013
15,Creighton,7,MVC,28,8,21.75,118.3,5,96.5,66,63.8,211,-0.009,208,5.73,67,105.5,74,99.7,65,1.63,113,1,1,0,0,0,0,0,M,2013
31,San Diego St.,7,MWC,23,11,17.43,107.7,78,90.3,13,65.5,132,-0.049,294,7.65,29,106.6,24,98.9,45,1.92,106,1,1,0,0,0,0,0,S,2013
36,Notre Dame,7,BE,25,10,16.65,114.6,17,97.9,86,60.3,320,0.046,62,6.53,54,105.1,82,98.6,34,-6.61,318,1,0,0,0,0,0,0,W,2013
33,N.C. State,8,ACC,24,11,16.99,116.8,10,99.8,122,66.8,69,-0.032,259,6.54,53,106.1,40,99.5,61,-0.36,167,1,0,0,0,0,0,0,E,2013
22,Colorado St.,8,MWC,26,9,19.12,117.9,6,98.8,104,63.8,210,0.02,133,7.17,37,105.8,57,98.6,32,-0.49,173,1,1,0,0,0,0,0,M,2013
32,North Carolina,8,ACC,25,11,17.14,112.2,31,95.1,47,69.6,12,0.038,86,8.57,19,106.6,25,98,17,-0.95,189,1,1,0,0,0,0,0,S,2013
11,Pittsburgh,8,BE,24,9,24.08,115.6,12,91.5,21,59.3,337,-0.058,304,4.52,84,104.9,89,100.4,87,-9.69,340,1,0,0,0,0,0,0,W,2013
59,Temple,9,A10,24,10,12.67,111.3,39,98.6,100,65.6,121,0.038,87,5.48,72,105.7,58,100.2,82,0.82,130,1,1,0,0,0,0,0,E,2013
25,Missouri,9,SEC,23,11,18.53,114.9,15,96.4,63,66.3,93,-0.032,263,5.62,70,105.1,83,99.5,59,-2.02,225,1,0,0,0,0,0,0,M,2013
53,Villanova 9,9,BE,20,14,13.57,106.3,113,92.7,29,66.4,88,0.011,150,9.41,12,106.5,27,97.1,4,0.3,143,1,0,0,0,0,0,0,S,2013
17,Wichita St.,9,MVC,30,9,20.31,111.8,35,91.5,20,63.8,208,-0.002,185,6.71,51,106.9,17,100.2,79,0.17,152,1,1,1,1,1,0,0,W,2013
45,Colorado,10,P12,21,12,14.62,106.5,109,91.9,23,63.7,215,0.029,104,9.15,15,107.3,13,98.1,18,3.8,67,1,0,0,0,0,0,0,E,2013
40,Cincinnati,10,BE,22,12,15.57,105.9,118,90.4,15,63,243,-0.012,215,7.31,35,105.6,66,98.3,23,-5.68,304,1,0,0,0,0,0,0,M,2013
51,Oklahoma,10,B12,20,12,13.8,111.1,41,97.3,80,65.2,141,0.004,166,7.8,27,106.4,30,98.6,31,2.47,91,1,0,0,0,0,0,0,S,2013
30,Iowa St.,10,B12,23,12,17.63,117.5,8,99.8,123,68.3,30,-0.046,288,6.74,50,105.5,71,98.7,40,-3.12,258,1,1,0,0,0,0,0,W,2013
58,Bucknell,11,Pat,28,6,12.72,107.3,87,94.6,43,61.9,282,-0.014,220,-1.72,178,102.4,160,104.1,223,2.78,84,1,0,0,0,0,0,0,E,2013
21,Saint Mary's,11,WCC,28,7,19.33,116.1,11,96.8,73,62.9,246,0.023,122,3.18,109,104.9,92,101.7,117,-0.49,172,1,0,0,0,0,0,0,M,2013
20,Minnesota,11,B10,21,13,19.85,114.8,16,95,46,62.3,274,-0.036,273,11.22,2,108.5,3,97.3,7,2.07,103,1,1,0,0,0,0,0,S,2013
43,Belmont,11,OVC,26,7,14.92,111.6,37,96.6,69,65.9,114,0.013,144,-0.74,157,103.8,118,104.6,244,5.39,33,1,0,0,0,0,0,0,W,2013
56,California,12,P12,21,12,13.11,107.3,88,94.2,39,64.9,159,0.041,77,8.35,21,106,43,97.6,10,2.12,101,1,1,0,0,0,0,0,E,2013
35,Oregon,12,P12,28,9,16.78,106.6,105,89.8,11,67.9,37,0.052,47,5.92,62,105.1,84,99.2,50,-8.08,332,1,1,1,0,0,0,0,M,2013
62,Akron,12,MAC,26,7,11.52,106.8,101,95.2,50,65.2,140,0.085,17,-0.35,147,102.4,157,102.7,150,0.28,147,1,0,0,0,0,0,0,S,2013
34,Mississippi,12,SEC,27,9,16.95,112.3,30,95.3,51,69.2,19,-0.011,213,3.19,108,103.4,131,100.2,80,-7.55,326,1,1,0,0,0,0,0,W,2013
145,Montana,13,BSky,25,7,2.14,104.9,134,102.8,173,62.7,253,0.175,1,-5.21,276,101.8,186,107,337,8.71,10,1,0,0,0,0,0,0,E,2013
88,New Mexico St.,13,WAC,24,11,7.68,104.7,137,97.1,76,63.8,212,0.039,78,0.36,138,102.7,148,102.3,135,3.94,64,1,0,0,0,0,0,0,M,2013
96,South Dakota St.,13,Sum,25,10,6.79,112,33,105.2,223,62.6,261,0.03,103,-3.31,231,102,174,105.3,280,4.11,59,1,0,0,0,0,0,0,S,2013
50,La Salle,13,A10,24,10,13.89,111.8,34,98,87,64.6,177,0.051,50,5.67,68,105.8,53,100.1,77,-0.5,174,1,1,1,0,0,0,0,W,2013
66,Davidson,14,SC,26,8,11.36,112.1,32,100.7,136,63.9,205,-0.002,186,-5.09,269,100.3,266,105.4,283,6.42,23,1,0,0,0,0,0,0,E,2013
65,Valparaiso,14,Horz,26,8,11.42,110.7,44,99.3,111,64.3,188,0.021,130,-1.5,173,101.5,207,103,168,-3.18,261,1,0,0,0,0,0,0,M,2013
138,Northwestern St.,14,Slnd,23,9,2.82,106.6,106,103.8,195,71.9,1,0.075,25,-3.56,235,99.6,297,103.2,179,8.11,12,1,0,0,0,0,0,0,S,2013
93,Harvard,14,Ivy,20,10,7.07,108.1,74,101.1,140,63.3,229,0.037,89,0.6,133,102.8,145,102.2,126,5.07,38,1,1,0,0,0,0,0,W,2013
128,Pacific,15,BW,22,13,3.96,106.1,114,102.2,158,62.2,275,0.074,26,0.86,130,104.2,111,103.3,187,9.06,7,1,0,0,0,0,0,0,E,2013
150,Albany,15,AE,24,11,1.36,102.6,171,101.3,144,61.7,289,0.082,18,-5.19,275,98.6,318,103.8,210,-6.61,319,1,0,0,0,0,0,0,M,2013
105,Florida Gulf Coast,15,ASun,26,11,6.27,104.9,136,98.6,99,67.9,41,0.039,79,-2.79,213,101.3,215,104.1,221,4.57,48,1,1,1,0,0,0,0,S,2013
89,Iona,15,MAAC,20,14,7.45,114.4,18,106.9,256,69.7,10,-0.07,317,0.94,129,102.4,159,101.4,111,4.09,61,1,0,0,0,0,0,0,W,2013
182,James Madison,16,CAA,21,15,-0.92,100.2,218,101.1,141,62.9,248,0.063,34,-3.42,233,101.9,180,105.3,279,-4.5,283,1,0,0,0,0,0,0,E,2013
227,North Carolina A&T,16,MEAC,20,17,-5.3,93.2,311,98.5,96,65.5,134,0.037,90,-6.98,318,97.2,329,104.2,229,-1.55,211,1,0,0,0,0,0,0,M,2013
173,Western Kentucky,16,SB,20,16,-0.41,101.8,188,102.2,157,64.6,179,0.029,105,-2.47,199,100.9,235,103.3,186,3.24,75,1,0,0,0,0,0,0,S,2013
162,Southern,16,SWAC,23,10,0.5,99.3,231,98.8,103,63.4,222,-0.031,257,-11.47,347,95.2,347,106.7,331,4.12,58,1,0,0,0,0,0,0,W,2013
5,Wisconsin,2,B10,30,8,25.89,122,4,96.1,35,62.4,286,0.019,133,11.44,3,110.2,13,98.8,2,3.33,68,1,1,1,1,1,0,0,W,2014
3,Florida,1,SEC,36,3,28.57,116.5,19,88,3,61.3,318,0.053,68,9.02,22,109.4,32,100.4,14,2.39,94,1,1,1,1,1,0,0,S,2014
13,Kentucky,8,SEC,29,11,22.55,118.3,14,95.8,32,64,217,-0.025,240,10.73,5,110.5,7,99.8,6,4.19,60,1,1,1,1,1,1,0,M,2014
15,Connecticut,7,Amer,32,8,22.13,113.6,39,91.5,10,63.2,254,0.08,23,9.43,13,109.7,24,100.3,11,0.91,134,1,1,1,1,1,1,1,E,2014
2,Arizona,1,P12,33,5,30.11,116.5,20,86.4,1,62.8,272,0.014,151,9.3,17,109.9,20,100.6,18,1.62,113,1,1,1,1,0,0,0,W,2014
42,Dayton,11,A10,26,11,14.25,113.8,37,99.6,72,63.8,223,0.038,93,6.25,63,107.7,79,101.4,51,-0.57,178,1,1,1,1,0,0,0,S,2014
12,Michigan,2,B10,28,9,23.44,123.9,3,100.5,89,61,330,0.047,76,11.65,2,110.3,12,98.6,1,0.62,142,1,1,1,1,0,0,0,M,2014
9,Michigan St.,4,B10,29,9,23.92,118.6,13,94.7,21,64.4,188,-0.003,192,10.44,6,110.2,15,99.7,5,0.57,144,1,1,1,1,0,0,0,E,2014
120,American,15,Pat,20,13,4.57,103.4,206,98.9,61,59.7,343,0.007,165,-2.59,208,103.6,218,106.2,210,-0.1,163,1,0,0,0,0,0,0,W,2014
26,Baylor,6,B12,26,12,19.39,118.9,10,99.5,70,61.3,319,0.012,157,10.31,7,111,3,100.6,20,-0.36,171,1,1,1,0,0,0,0,W,2014
49,BYU,10,WCC,23,12,13.77,114.5,31,100.7,93,70.8,6,-0.004,194,6.59,60,109.6,26,103,98,8.43,17,1,0,0,0,0,0,0,W,2014
17,Creighton,3,BE,27,8,21.72,124.2,2,102.5,124,63.6,237,0.024,128,7.5,48,108.5,58,101,35,1.31,122,1,1,0,0,0,0,0,W,2014
24,Gonzaga,8,WCC,29,7,20.14,114,35,93.8,18,65,154,0.016,146,5.05,83,109,42,103.9,110,2.2,100,1,1,0,0,0,0,0,W,2014
113,Louisiana Lafayette,14,SB,23,12,5.19,110.2,89,105,167,68.5,31,0.038,91,-0.57,161,105,150,105.6,181,4.65,55,1,0,0,0,0,0,0,W,2014
56,Nebraska,11,B10,19,13,12.64,108.8,111,96.1,36,64.7,170,0.047,77,9.3,18,108.4,61,99.1,3,-1.95,217,1,0,0,0,0,0,0,W,2014
72,New Mexico St.,13,WAC,26,10,10.54,112.9,45,102.4,117,65.2,148,-0.03,246,-3.64,234,103,258,106.7,225,2.6,88,1,0,0,0,0,0,0,W,2014
61,North Dakota St.,12,Sum,26,7,11.76,115.5,25,103.7,144,62.3,292,0.089,17,1.38,121,106.8,105,105.4,173,5.32,44,1,1,0,0,0,0,0,W,2014
30,Oklahoma,5,B12,23,10,17.9,117.9,16,100,82,69.6,17,-0.022,232,9.13,20,110.2,16,101,38,0.5,147,1,0,0,0,0,0,0,W,2014
21,Oklahoma St.,9,B12,21,13,20.98,115.9,22,95,24,67.2,59,-0.11,343,9.06,21,109.9,19,100.8,28,-1.15,194,1,0,0,0,0,0,0,W,2014
28,Oregon,7,P12,24,10,19.02,118.9,8,99.9,79,67.5,50,-0.037,262,7.39,50,109.1,37,101.8,62,-1.18,197,1,1,0,0,0,0,0,W,2014
23,San Diego St.,4,MWC,31,5,20.38,110.4,86,90,7,62.3,294,0.067,37,5.18,79,108,68,102.8,96,2.71,86,1,1,1,0,0,0,0,W,2014
172,Weber St.,16,BSky,19,12,-0.62,106.4,149,107,213,62.9,263,-0.009,203,-6.78,304,103.3,238,110,338,6.69,30,1,0,0,0,0,0,0,W,2014
181,Albany,16,AE,19,15,-1.04,102.9,217,103.9,148,61.6,314,0.002,181,-5.12,270,101.5,311,106.6,224,0.91,135,1,0,0,0,0,0,0,S,2014
67,Colorado,8,P12,23,12,11.2,107.7,129,96.5,42,64.8,167,0.12,3,8.74,26,109.5,27,100.8,26,1.71,110,1,0,0,0,0,0,0,S,2014
125,Eastern Kentucky,15,OVC,24,10,3.96,112.4,55,108.4,235,64.2,203,0.036,96,-4.97,268,104.1,189,109,314,-5.04,304,1,0,0,0,0,0,0,S,2014
7,Kansas,2,B12,25,10,24.6,119.3,6,94.7,22,66.6,83,-0.051,295,12.13,1,112.2,1,100,7,9.47,11,1,1,0,0,0,0,0,S,2014
33,New Mexico,7,MWC,27,7,17.15,113.5,41,96.3,39,64.4,191,0.032,106,4.83,88,107.7,78,102.9,97,3.24,69,1,0,0,0,0,0,0,S,2014
19,Ohio St.,6,B10,25,10,21.3,109.3,103,88,2,64,218,-0.043,275,7.8,39,109.2,36,101.4,50,-3.36,267,1,0,0,0,0,0,0,S,2014
16,Pittsburgh,9,ACC,26,10,21.89,116.9,18,95,25,62.2,295,-0.038,264,7.62,44,108,69,100.4,13,-3.66,275,1,1,0,0,0,0,0,S,2014
34,Stanford,10,P12,23,13,16.06,112.4,54,96.4,40,65.3,147,0.016,144,9.42,14,110.2,17,100.7,25,2.34,97,1,1,1,0,0,0,0,S,2014
70,Stephen F. Austin,12,Slnd,32,3,10.83,112.3,58,101.5,105,61.2,323,0.073,33,-7.12,309,102,298,109.2,316,-4.19,286,1,1,0,0,0,0,0,S,2014
18,Syracuse,3,ACC,28,6,21.62,114.6,28,93,13,59.6,344,0.016,141,7.23,55,109.4,33,102.2,74,-1.01,189,1,1,0,0,0,0,0,S,2014
82,Tulsa,13,CUSA,21,13,8.93,106.1,159,97.2,51,66.8,72,-0.023,234,0.57,136,104.9,154,104.3,124,2.81,82,1,0,0,0,0,0,0,S,2014
14,UCLA,4,P12,28,9,22.53,118.7,11,96.1,37,68.4,33,-0.019,224,7.63,43,109.1,39,101.5,58,-3.26,262,1,1,1,0,0,0,0,S,2014
25,VCU,5,A10,26,9,19.8,109.2,106,89.4,6,68.9,22,-0.058,308,5.45,77,107.4,88,102,66,1.33,118,1,0,0,0,0,0,0,S,2014
131,Western Michigan,14,MAC,23,10,3.36,106.3,152,103,130,65.2,151,0.098,10,-1.86,188,103.9,202,105.7,187,-3.25,261,1,0,0,0,0,0,0,S,2014
39,Arizona St.,10,P12,21,12,14.82,111.2,67,96.4,41,67.4,58,0.003,180,7.5,47,108.6,53,101.1,41,-2.6,234,1,0,0,0,0,0,0,M,2014
176,Cal Poly,16,BW,14,20,-0.82,103.6,202,104.4,159,58.8,347,-0.044,276,2.38,111,107.4,89,105,158,10.19,9,1,0,0,0,0,0,0,M,2014
8,Duke,3,ACC,26,9,24.25,124.7,1,100.4,86,64.6,179,-0.035,255,8.76,25,109.2,34,100.5,17,2.4,93,1,0,0,0,0,0,0,M,2014
45,Kansas St.,9,B12,20,13,14.1,107.8,125,93.7,16,63.3,247,0.001,185,8.17,35,110.5,8,102.3,81,-4.06,285,1,0,0,0,0,0,0,M,2014
1,Louisville,4,Amer,31,6,30.41,118.9,7,88.5,5,67.2,60,-0.045,278,4.31,95,107,100,102.7,93,-4.65,295,1,1,1,0,0,0,0,M,2014
74,Manhattan,13,MAAC,25,8,10.21,107.2,134,97,46,67.7,46,-0.008,202,-0.2,152,105.6,128,105.8,191,3.46,65,1,0,0,0,0,0,0,M,2014
50,Massachusetts,6,A10,24,9,13.46,110,91,96.5,43,70.3,11,0.065,40,7.33,52,108,71,100.6,19,5.53,40,1,0,0,0,0,0,0,M,2014
87,Mercer,14,ASun,27,9,8.34,110.8,75,102.4,119,63.6,233,0.022,130,-4.44,248,103.6,216,108,279,4.65,56,1,1,0,0,0,0,0,M,2014
62,N.C. State,12,ACC,22,14,11.6,114,34,102.4,121,64.7,172,0.065,39,7.77,40,108.4,60,100.7,21,-4.31,289,1,0,0,0,0,0,0,M,2014
35,Saint Louis,5,A10,27,7,15.72,105.7,168,90,8,65.6,124,0.04,88,5.04,85,107.2,96,102.2,75,-1.5,206,1,1,0,0,0,0,0,M,2014
10,Tennessee,11,SEC,24,13,23.69,117.9,15,94.2,19,61.6,313,-0.099,341,8.12,36,108.9,46,100.8,29,1.46,115,1,1,1,0,0,0,0,M,2014
