Rk,Team,Seed,Conf,W,L,AdjEM,AdjO,AdjO_R,AdjD,AdjD_R,AdjT,AdjT_R,Luck,Luck_R,AdjEM2,AdjEM_R,OppO,OppO_R,OppD,OppD_R,AdjEM3,AdjEM_R4,R64,R32,R16,R8,R4,R2,Winner,Conference,year
12,West Virginia, 5,B12,26,11,22.44,119.4,10,96.9,41,69.2,120,-0.014,214,10.59,16,109.9,38,99.3,2,-4.72,299,1,1,1,0,0,0,0,E,2018
17,Kentucky, 5,SEC,26,11,20.44,115.8,24,95.4,22,68.8,146,-0.008,199,10.91,12,110.8,22,99.8,11,4.67,44,1,1,1,0,0,0,0,S,2018
16,Ohio St., 5,B10,25,9,21.16,116,23,94.9,15,67,238,0.02,124,8.75,44,109.8,40,101.1,46,0.26,151,1,1,0,0,0,0,0,W,2018
14,Clemson, 5,ACC,25,10,21.65,114.2,44,92.6,7,66.1,274,-0.009,203,10.22,20,110.6,26,100.4,23,-1.91,214,1,1,1,0,0,0,0,M,2018
22,Florida, 6,SEC,21,13,18.96,114.5,41,95.5,24,67.1,226,-0.059,310,10.74,13,110.2,31,99.5,4,4.57,46,1,1,0,0,0,0,0,E,2018
37,Miami FL, 6,ACC,22,10,15.43,112.9,53,97.4,48,67,233,0.017,128,8.08,52,109.1,52,101,42,-3.82,284,1,0,0,0,0,0,0,S,2018
18,Houston, 6,Amer,27,8,20.24,114.6,38,94.4,13,68.4,167,-0.015,216,3.9,81,106.6,95,102.7,75,-3.08,254,1,1,0,0,0,0,0,W,2018
24,TCU, 6,B12,21,12,18.47,119.7,9,101.2,100,68.6,160,-0.067,322,9.67,29,110.7,24,101,43,-0.82,178,1,0,0,0,0,0,0,M,2018
44,Arkansas, 7,SEC,23,12,14.69,116.3,20,101.7,106,69.7,91,0.059,56,9.9,25,110.5,28,100.6,27,0.87,141,1,0,0,0,0,0,0,E,2018
25,Nevada, 7,MWC,29,8,18.39,120.2,7,101.8,108,69.4,105,-0.026,255,5.13,74,107,87,101.8,63,3.61,67,1,1,1,0,0,0,0,S,2018
29,Texas A&M, 7,SEC,22,13,16.96,111.3,66,94.4,14,69.5,101,0.014,140,11.69,4,111.8,2,100.1,15,5.12,37,1,1,1,0,0,0,0,W,2018
52,Rhode Island, 7,A10,26,8,13.93,111.1,69,97.2,46,68.4,173,0.063,44,3.49,85,107.6,75,104.1,107,3.83,64,1,1,0,0,0,0,0,M,2018
33,Virginia Tech, 8,ACC,21,12,16.03,115.3,28,99.3,70,68.7,147,-0.018,229,7.91,53,109.2,47,101.3,52,-9.76,344,1,0,0,0,0,0,0,E,2018
30,Creighton, 8,BE,21,12,16.91,115.5,25,98.6,58,70.8,57,-0.028,259,9.4,33,110.8,21,101.4,54,-4.2,292,1,0,0,0,0,0,0,S,2018
40,Missouri, 8,SEC,20,13,14.83,111.9,58,97,43,65.7,296,-0.025,249,9.55,32,109.8,41,100.2,19,1.07,132,1,0,0,0,0,0,0,W,2018
26,Seton Hall, 8,BE,22,12,18.04,116.9,17,98.8,62,69.5,103,-0.028,260,10.12,21,110.5,27,100.4,24,0,157,1,1,0,0,0,0,0,M,2018
57,Alabama, 9,SEC,20,16,13.41,108.7,106,95.2,20,68.7,151,0.017,130,11.17,8,110.9,19,99.7,7,2.54,84,1,1,0,0,0,0,0,E,2018
42,Kansas St., 9,B12,25,12,14.77,110.1,78,95.3,21,65.6,302,0.071,31,9.39,34,111,14,101.6,59,-6.5,324,1,1,1,1,0,0,0,S,2018
27,Florida St., 9,ACC,23,12,17.77,114.3,43,96.5,33,71.2,45,-0.029,261,9.27,36,109.6,45,100.3,20,-6.91,330,1,1,1,1,0,0,0,W,2018
46,N.C. State, 9,ACC,21,12,14.52,116.3,21,101.8,109,71.4,38,-0.001,178,7.71,55,108.6,62,100.9,39,-9.71,342,1,0,0,0,0,0,0,M,2018
20,Butler ,10,BE,21,14,19.05,116.2,22,97.2,45,67.6,207,-0.047,290,11.21,7,112,1,100.8,34,0.11,154,1,1,0,0,0,0,0,E,2018
36,Texas ,10,B12,19,15,15.43,109.5,89,94.1,12,65.2,316,-0.03,263,11.77,3,111.4,8,99.6,5,2.05,99,1,0,0,0,0,0,0,S,2018
63,Providence ,10,BE,21,14,12.17,108.9,100,96.7,36,67.1,227,0.074,28,10.58,17,111.6,4,101.1,45,-1.38,193,1,0,0,0,0,0,0,W,2018
48,Oklahoma ,10,B12,18,14,14.16,114.6,37,100.5,85,75.5,4,-0.008,198,11.68,5,111.3,11,99.6,6,2.13,96,1,0,0,0,0,0,0,M,2018
68,St. Bonaventure ,11,A10,26,8,11.21,110.8,74,99.5,74,69.4,104,0.078,21,2.8,94,107,86,104.2,111,1.17,127,1,0,0,0,0,0,0,E,2018
31,Loyola Chicago ,11,MVC,32,6,16.39,111.4,63,95,17,65.5,307,0.077,22,2.48,99,104.8,156,102.3,72,-5.47,315,1,1,1,1,1,0,0,S,2018
50,San Diego St. ,11,MWC,22,11,14.09,110.5,77,96.4,30,68.8,142,-0.032,265,3.46,86,107.2,80,103.8,96,-0.8,177,1,0,0,0,0,0,0,W,2018
41,Syracuse ,11,ACC,23,14,14.82,107,135,92.2,5,62.9,345,0.021,119,9.81,27,111.3,9,101.5,58,-0.2,163,1,1,1,0,0,0,0,M,2018
62,Murray St. ,12,OVC,26,6,12.19,112.9,54,100.7,93,67.2,222,0,176,-3.56,243,102.9,253,106.4,222,-0.99,185,1,0,0,0,0,0,0,E,2018
43,Davidson ,12,A10,21,12,14.7,117,16,102.3,120,64.5,332,-0.063,318,2.11,104,105.6,116,103.5,91,1.33,121,1,0,0,0,0,0,0,S,2018
78,South Dakota St. ,12,Sum,28,7,10.2,113.8,47,103.6,150,70.5,61,0.097,13,-0.09,141,105.8,113,105.9,188,3.59,68,1,0,0,0,0,0,0,W,2018
60,New Mexico St. ,12,WAC,28,6,12.92,107.9,116,95,16,68.5,165,0.027,106,-1.4,174,104,193,105.4,157,3.7,66,1,0,0,0,0,0,0,M,2018
105,Marshall ,13,CUSA,25,11,6.53,109.4,93,102.9,126,74.7,6,0.06,54,0.07,137,105.6,118,105.5,164,-7,333,1,1,0,0,0,0,0,E,2018
67,Buffalo ,13,MAC,27,9,11.53,114.7,34,103.2,135,72.7,16,0.006,158,-0.06,140,105.1,145,105.2,147,3.87,62,1,1,0,0,0,0,0,S,2018
82,UNC Greensboro ,13,SC,27,8,9.22,104.9,174,95.7,26,65.2,317,-0.024,244,-4.57,280,103.7,210,108.2,315,-3.46,272,1,0,0,0,0,0,0,W,2018
115,College of Charleston ,13,CAA,26,8,5.16,108.7,105,103.6,149,64.9,323,0.035,91,-4.06,257,104.8,153,108.9,332,-7.64,337,1,0,0,0,0,0,0,M,2018
112,Stephen F. Austin ,14,Slnd,28,7,5.58,104.5,181,99,64,71.1,49,0.031,97,-7.16,319,100.6,330,107.8,293,-2.26,225,1,0,0,0,0,0,0,E,2018
133,Wright St. ,14,Horz,25,10,2.89,100.6,249,97.7,51,68.3,176,0.074,27,-3.79,250,102.7,266,106.5,228,2.23,92,1,0,0,0,0,0,0,S,2018
72,Montana ,14,BSky,26,8,10.4,108.8,101,98.4,56,68,185,0,175,-1.96,186,104,192,106,192,2.09,98,1,0,0,0,0,0,0,W,2018
97,Bucknell ,14,Pat,25,10,7.31,109.5,90,102.2,116,71.4,40,0.006,160,-4.35,268,102.8,260,107.1,264,5.79,31,1,0,0,0,0,0,0,M,2018
162,Cal St. Fullerton ,15,BW,20,12,0.62,103.7,192,103.1,133,69.6,98,0.097,14,-1.2,167,103.8,204,105,139,2.76,83,1,0,0,0,0,0,0,E,2018
101,Georgia St. ,15,SB,24,11,6.92,108.8,102,101.9,110,66.8,246,-0.015,218,-2.51,207,103.4,229,105.9,186,-3.22,263,1,0,0,0,0,0,0,S,2018
167,Lipscomb ,15,ASun,23,10,0.43,103.2,203,102.8,125,74.9,5,0.112,7,-4.31,267,103.2,235,107.5,278,5.84,30,1,0,0,0,0,0,0,W,2018
137,Iona ,15,MAAC,20,14,2.63,110,80,107.3,218,70.7,58,-0.008,196,-2.12,195,103.1,240,105.2,151,2.14,95,1,0,0,0,0,0,0,M,2018
170,Radford ,16,BSth,23,13,0.07,102.9,212,102.9,127,63,344,0.063,45,-4.03,255,102.8,259,106.9,249,3.49,71,1,0,0,0,0,0,0,E,2018
166,UMBC ,16,AE,25,11,0.5,103.1,206,102.6,124,68.4,170,0.125,2,-4.38,269,102.7,267,107.1,259,-3.55,277,1,1,0,0,0,0,0,S,2018
243,Texas Southern ,16,SWAC,16,20,-6.65,104.6,180,111.2,299,71.7,31,-0.01,206,-6.3,304,101,318,107.3,271,17.2,1,1,0,0,0,0,0,0,W,2018
125,Penn ,16,Ivy,24,9,3.69,103.1,208,99.4,72,68.9,132,0.076,24,-4.15,261,103.7,209,107.8,296,-2.98,249,1,0,0,0,0,0,0,M,2018
1,Virginia,1,ACC,35,3,34.22,123.4,2,89.2,5,59.4,353,0.05,62,11.18,22,109.2,34,98.1,14,-3.24,255,1,1,1,1,1,1,1,S,2019
2,Gonzaga,1,WCC,33,4,32.85,124.5,1,91.6,12,70.2,62,-0.001,180,4.46,75,106.9,69,102.5,87,1.87,105,1,1,1,1,0,0,0,W,2019
3,Michigan St.,2,B10,32,7,30.81,121,5,90.2,9,66.9,211,0.001,177,13.67,2,110.6,7,96.9,1,3.24,82,1,1,1,1,1,0,0,E,2019
4,Duke,1,ACC,32,6,30.62,120,7,89.3,6,72.1,20,0.018,134,12.85,7,110.7,4,97.8,11,5.08,40,1,1,1,1,0,0,0,E,2019
5,Texas Tech,3,B12,31,7,30.03,114.1,25,84.1,1,66.6,231,0.004,171,11.18,21,109.8,19,98.7,22,-5.39,307,1,1,1,1,1,1,0,W,2019
6,Michigan,2,B10,30,7,28.32,114.5,24,86.2,2,64.8,317,-0.001,181,11.27,20,109.2,35,98,12,-5.42,309,1,1,1,0,0,0,0,W,2019
7,North Carolina,1,ACC,29,7,27.69,119.7,8,92,15,74.3,6,0.024,116,12.6,8,110.7,2,98.1,15,5.69,28,1,1,1,0,0,0,0,M,2019
8,Kentucky,2,SEC,30,7,27.57,117.6,14,90.1,8,65.6,284,0.033,98,11.32,19,110.7,5,99.4,34,1.75,107,1,1,1,1,0,0,0,M,2019
9,Purdue,3,B10,26,10,26.81,122.5,4,95.6,34,65.9,268,-0.015,224,13.16,4,110.3,13,97.1,3,4.09,55,1,1,1,1,0,0,0,S,2019
10,Tennessee,2,SEC,31,6,26.24,122.7,3,96.5,42,67.8,164,0.034,96,10.69,25,109.7,23,99,28,0.92,129,1,1,1,0,0,0,0,S,2019
11,Auburn,5,SEC,30,10,25,120.9,6,95.9,36,67.9,155,0.008,162,12.23,11,110.7,3,98.5,20,2.63,96,1,1,1,1,1,0,0,M,2019
12,Houston,3,Amer,33,4,24.13,115.3,19,91.2,11,66.1,260,0.039,86,4.45,76,105.7,92,101.3,62,-4.16,283,1,1,1,0,0,0,0,M,2019
13,Virginia Tech,4,ACC,26,9,24.07,118.1,11,94,20,63.7,334,-0.005,195,8.47,47,108.3,49,99.9,42,-6.26,325,1,1,1,0,0,0,0,E,2019
14,Florida St.,4,ACC,29,8,22.39,112.8,36,90.4,10,68.6,121,0.046,70,10.46,30,109.8,20,99.3,33,0.93,128,1,1,1,0,0,0,0,W,2019
15,Iowa St.,6,B12,23,12,22.09,118.9,9,96.8,47,67.7,171,-0.063,316,10.78,23,109.3,29,98.5,21,-1.56,206,1,0,0,0,0,0,0,M,2019
16,Wisconsin,5,B10,23,11,21.94,110.4,62,88.5,4,63.9,331,-0.018,228,12.97,6,110.3,14,97.3,6,3.14,87,1,0,0,0,0,0,0,S,2019
17,Kansas,4,B12,26,10,21.57,113.9,27,92.3,17,70.1,66,0.076,26,14.13,1,111.8,1,97.7,8,10.36,4,1,1,0,0,0,0,0,M,2019
18,Wofford,7,SC,30,5,20.69,118.1,10,97.4,56,65.7,278,0.046,68,1.82,97,106,83,104.2,144,8.37,6,1,1,0,0,0,0,0,M,2019
19,LSU,3,SEC,28,7,20.22,117.7,12,97.5,59,70,67,0.063,36,10.02,35,109.3,30,99.3,32,2.77,92,1,1,1,0,0,0,0,E,2019
20,Kansas St.,4,B12,25,9,20.06,108.4,98,88.4,3,63.4,339,0.049,65,10.22,32,109.3,31,99.1,29,-0.96,186,1,0,0,0,0,0,0,S,2019
21,Mississippi St.,5,SEC,23,11,20.04,117.7,13,97.6,61,67.8,161,-0.038,270,10.09,34,110.1,17,100,44,2.22,100,1,0,0,0,0,0,0,E,2019
22,Buffalo,6,MAC,32,4,19.85,115.2,21,95.4,31,73.6,11,0.056,50,3.14,89,105.5,100,102.4,82,1.15,121,1,1,0,0,0,0,0,W,2019
23,Louisville,7,ACC,20,14,19.35,113.7,28,94.4,24,67.2,199,-0.06,309,11.95,16,110.4,10,98.4,19,5.36,32,1,0,0,0,0,0,0,E,2019
24,Maryland,6,B10,23,11,19.29,113.4,31,94.1,21,66,264,-0.004,189,10.75,24,109.8,18,99.1,30,-4.92,299,1,1,0,0,0,0,0,E,2019
26,Florida,10,SEC,20,16,18.3,110.5,61,92.2,16,62.9,344,-0.063,315,12,14,110.7,6,98.7,23,5.12,39,1,1,0,0,0,0,0,W,2019
27,Nevada,7,MWC,29,5,18.18,114,26,95.9,35,69.3,91,0.033,99,1.42,103,105.4,111,103.9,130,1.79,106,1,0,0,0,0,0,0,W,2019
28,Oregon ,12,P12,25,13,17.86,109.5,74,91.7,13,64.2,328,-0.048,292,5.47,66,107.7,59,102.3,78,0.43,145,1,1,1,0,0,0,0,S,2019
29,Cincinnati ,7,Amer,28,7,17.5,112.3,42,94.8,28,63.4,338,0.05,64,5.12,67,107.1,66,102,73,-2.85,243,1,0,0,0,0,0,0,S,2019
30,Villanova ,6,BE,26,10,17.33,116.5,16,99.2,81,63.6,335,0.044,73,8,51,108.8,44,100.8,55,3.32,78,1,1,0,0,0,0,0,S,2019
31,Saint Mary's ,11,WCC,22,12,17.31,114.7,23,97.4,55,62.7,348,-0.045,285,3.66,82,106.6,76,103,100,-0.9,183,1,0,0,0,0,0,0,S,2019
32,Oklahoma ,9,B12,20,14,16.94,111.1,57,94.1,23,68.6,123,0.023,119,13.27,3,110.3,11,97.1,2,7.44,12,1,1,0,0,0,0,0,S,2019
33,Marquette ,5,BE,24,10,16.52,113.2,32,96.7,45,68.8,116,0.01,154,6.77,57,107.4,63,100.7,51,0.29,151,1,0,0,0,0,0,0,W,2019
34,UCF ,9,Amer,24,9,16.51,112.1,44,95.6,33,65,309,0.011,152,4.99,69,105.9,90,100.9,57,-3.71,264,1,1,0,0,0,0,0,E,2019
35,Baylor ,9,B12,20,14,16.48,115.3,20,98.8,75,65.2,297,-0.029,255,10.49,28,108.8,43,98.3,18,-4.04,276,1,1,0,0,0,0,0,W,2019
37,Iowa ,10,B10,23,12,16.02,117.4,15,101.3,111,69.5,84,0.05,63,10.64,26,108.9,42,98.3,16,-6.49,329,1,1,0,0,0,0,0,S,2019
38,Utah St. ,8,MWC,28,7,15.41,112.6,39,97.2,52,68.1,145,0.012,149,0.02,139,104.5,147,104.4,158,0.81,135,1,0,0,0,0,0,0,M,2019
39,Syracuse ,8,ACC,20,14,15.13,110.5,59,95.3,30,66.1,257,-0.004,188,9.4,38,108.6,46,99.2,31,0.17,156,1,0,0,0,0,0,0,W,2019
42,VCU,8,A10,25,8,14.89,104.3,177,89.5,7,68.4,136,0.007,164,1.37,105,105.2,120,103.8,123,3.6,67,1,0,0,0,0,0,0,E,2019
44,Ohio St. ,11,B10,20,15,14.66,109.1,84,94.4,25,65.8,274,0.013,147,11.68,17,110.4,8,98.8,24,-2.95,246,1,1,0,0,0,0,0,M,2019
46,Minnesota,10,B10,22,14,14.35,111.4,52,97,48,67.4,186,0.086,15,12.18,12,110.2,15,98,13,-2.91,244,1,1,0,0,0,0,0,E,2019
48,Washington,9,P12,27,9,14.28,107.7,110,93.5,18,66,262,0.088,13,6.06,61,107.6,62,101.5,64,2.73,93,1,1,0,0,0,0,0,M,2019
49,Belmont,11,OVC,27,6,14.09,115.6,18,101.5,117,71.3,34,0.025,113,-1.98,194,103.6,183,105.6,198,3.78,63,1,0,0,0,0,0,0,E,2019
50,Mississippi,8,SEC,20,13,13.98,113.2,33,99.2,80,68.5,131,-0.007,203,8.69,43,109.1,38,100.4,49,-1.11,191,1,0,0,0,0,0,0,S,2019
51,Murray St.,12,OVC,28,5,13.83,112.5,41,98.6,73,69.4,89,0.054,54,-3.32,233,103.1,222,106.4,228,-1.13,192,1,1,0,0,0,0,0,W,2019
53,New Mexico St.,12,WAC,30,5,13.62,113,35,99.3,84,65.9,269,0.042,79,-3.44,236,102.8,235,106.2,222,-3.22,254,1,0,0,0,0,0,0,M,2019
57,Arizona St. ,11,P12,23,11,11.55,109.7,73,98.2,64,70.8,47,0.051,59,5.56,65,107.3,64,101.7,66,1.55,112,1,0,0,0,0,0,0,W,2019
58,Liberty,12,ASun,29,7,11.54,111.1,54,99.6,87,62.3,349,0.009,158,-3.27,230,102.5,245,105.8,203,-3.2,252,1,1,0,0,0,0,0,E,2019
60,Seton Hall,10,BE,20,14,11.5,109,87,97.5,60,69.1,100,0.023,120,8.54,44,109.2,36,100.7,52,3.58,68,1,0,0,0,0,0,0,M,2019
73,UC Irvine,13,BW,31,6,9.16,107.4,118,98.2,65,65.3,293,0.11,8,-3.28,231,102.5,243,105.8,204,1.25,117,1,1,0,0,0,0,0,S,2019
76,Vermont ,13,AE,27,7,8.86,108.5,97,99.6,88,65.5,285,0.043,77,-5.55,281,100.7,311,106.2,221,3.2,85,1,0,0,0,0,0,0,W,2019
77,Yale,14,Ivy,22,8,8.79,111.6,51,102.8,141,71,41,0.041,80,-1.1,167,103,224,104.2,140,-2.09,222,1,0,0,0,0,0,0,E,2019
89,Northeastern,13,CAA,23,11,7.59,111,58,103.4,151,66.2,253,0.05,61,-0.63,157,106.3,78,106.9,259,6.45,23,1,0,0,0,0,0,0,M,2019
96,Northern Kentucky,14,Horz,26,9,7.14,109.4,76,102.3,130,68.2,143,-0.001,182,-3.37,234,103.6,186,107,262,-2.57,235,1,0,0,0,0,0,0,W,2019
106,Saint Louis,13,A10,23,13,6.02,102.2,214,96.2,40,66.4,239,0.044,74,0.49,126,104.4,150,103.9,129,-1.44,200,1,0,0,0,0,0,0,E,2019
113,Old Dominion,14,CUSA,26,9,5.45,101.4,238,96,38,64.5,324,0.058,49,-2.15,203,102.5,244,104.7,165,-6.06,322,1,0,0,0,0,0,0,S,2019
124,Georgia St. ,14,SB,24,10,4.85,107.7,111,102.8,143,70,69,0.143,2,1.09,115,105.2,121,104.1,137,3.5,70,1,0,0,0,0,0,0,M,2019
126,Colgate ,15,Pat,24,11,4.6,110.5,60,105.9,201,66.4,237,0.012,148,-3.83,250,102.4,254,106.3,223,0.84,131,1,0,0,0,0,0,0,S,2019
137,Montana ,15,BSky,26,9,3.53,107.4,114,103.9,155,66.9,220,0.059,45,-6.07,288,102.4,259,108.4,328,4.03,58,1,0,0,0,0,0,0,W,2019
152,Abilene Christian,15,Slnd,27,7,1.35,103.4,196,102,121,66.1,256,0.123,5,-8.67,341,100,326,108.7,336,-4.75,295,1,0,0,0,0,0,0,M,2019
161,Bradley,15,MVC,20,15,0.09,101.5,234,101.4,113,65.3,292,0.035,93,-1.66,183,102.6,242,104.3,147,-3.94,272,1,0,0,0,0,0,0,E,2019
163,Gardner Webb,16,BSth,23,12,-0.04,107.8,109,107.8,245,67.4,189,0.07,29,-3.55,239,103.2,210,106.8,248,-4.07,278,1,0,0,0,0,0,0,S,2019
198,Iona,16,MAAC,17,16,-2.88,106.9,129,109.7,276,70.6,51,-0.024,245,-6.27,290,100.5,314,106.8,251,0.44,144,1,0,0,0,0,0,0,M,2019
202,North Dakota St.,16,Sum,19,16,-3.2,107.4,117,110.6,292,65,312,0.064,34,-2.85,217,104.8,138,107.6,292,3.23,84,1,0,0,0,0,0,0,E,2019
211,Fairleigh Dickinson,16,NEC,21,14,-4.22,106.5,139,110.7,295,66.8,223,0.04,81,-8.16,338,99.5,335,107.7,296,-1.86,215,1,0,0,0,0,0,0,W,2019
